wandb: Currently logged in as: yog1thun (yog1thun-peking-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 2k0sdzye
wandb: Tracking run with wandb version 0.23.1
wandb: Run data is saved locally in models/20260108-165245/wandb/run-20260108_165248-2k0sdzye
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run learner_2977856
wandb: ⭐️ View project at https://wandb.ai/yog1thun-peking-university/mahjong-rl
wandb: 🚀 View run at https://wandb.ai/yog1thun-peking-university/mahjong-rl/runs/2k0sdzye
Loaded pre-trained model from ckpt/20251230-175913/100.pkl
[Train] Iteration 0, total loss -0.0966, policy loss -51.1968, value loss 44.1821, entropy loss -0.0059, predict loss 6.9182
[Evaluate] Iteration 0: Model avg: -0.49 | Baseline avg: 0.16
[Train] Iteration 1, total loss 7.8974, policy loss -16.7617, value loss 16.5507, entropy loss -0.0161, predict loss 8.1087
[Train] Iteration 2, total loss 11.4110, policy loss -10.7428, value loss 14.1200, entropy loss -0.0158, predict loss 8.0341
[Train] Iteration 3, total loss 13.0829, policy loss -9.4635, value loss 14.8342, entropy loss -0.0198, predict loss 7.7126
[Train] Iteration 4, total loss 10.1102, policy loss -9.9853, value loss 12.6619, entropy loss -0.0115, predict loss 7.4338
[Train] Iteration 5, total loss 10.3360, policy loss -11.8543, value loss 15.2813, entropy loss -0.0211, predict loss 6.9094
[Train] Iteration 6, total loss 14.8260, policy loss -8.9398, value loss 16.2162, entropy loss -0.0057, predict loss 7.5498
[Train] Iteration 7, total loss 11.5846, policy loss -10.1856, value loss 14.1869, entropy loss -0.0110, predict loss 7.5835
[Train] Iteration 8, total loss 5.5428, policy loss -7.3282, value loss 5.4761, entropy loss -0.0075, predict loss 7.3950
[Train] Iteration 9, total loss 25.3848, policy loss -9.2764, value loss 26.7028, entropy loss -0.0228, predict loss 7.9589
[Train] Iteration 10, total loss 8.6666, policy loss -8.3050, value loss 9.0739, entropy loss -0.0200, predict loss 7.8981
[Train] Iteration 11, total loss 7.1709, policy loss -8.0287, value loss 7.4428, entropy loss -0.0133, predict loss 7.7571
[Train] Iteration 12, total loss 5.9985, policy loss -7.2535, value loss 5.9484, entropy loss -0.0108, predict loss 7.3038
[Train] Iteration 13, total loss 11.4938, policy loss -8.0039, value loss 12.0144, entropy loss -0.0139, predict loss 7.4836
[Train] Iteration 14, total loss 4.2240, policy loss -9.2377, value loss 5.6724, entropy loss -0.0084, predict loss 7.7894
[Train] Iteration 15, total loss 6.8371, policy loss -8.2558, value loss 7.7881, entropy loss -0.0145, predict loss 7.3051
[Train] Iteration 16, total loss 12.8672, policy loss -7.4317, value loss 12.9076, entropy loss -0.0153, predict loss 7.3916
[Train] Iteration 17, total loss 13.1380, policy loss -8.1412, value loss 13.3552, entropy loss -0.0185, predict loss 7.9244
[Train] Iteration 18, total loss 8.5327, policy loss -7.3439, value loss 8.7791, entropy loss -0.0128, predict loss 7.0977
[Train] Iteration 19, total loss 7.4164, policy loss -7.9620, value loss 7.7120, entropy loss -0.0086, predict loss 7.6666
[Train] Iteration 20, total loss 8.9469, policy loss -8.9731, value loss 11.0381, entropy loss -0.0066, predict loss 6.8821
[Train] Iteration 21, total loss 7.3309, policy loss -6.7661, value loss 6.5493, entropy loss -0.0183, predict loss 7.5482
[Train] Iteration 22, total loss 10.2948, policy loss -7.1678, value loss 10.2805, entropy loss -0.0196, predict loss 7.1825
[Train] Iteration 23, total loss 15.0339, policy loss -8.9552, value loss 17.0117, entropy loss -0.0114, predict loss 6.9775
[Train] Iteration 24, total loss 9.8839, policy loss -6.6247, value loss 9.5175, entropy loss -0.0085, predict loss 6.9911
[Train] Iteration 25, total loss 7.9426, policy loss -6.7393, value loss 7.1159, entropy loss -0.0133, predict loss 7.5663
[Train] Iteration 26, total loss 7.6398, policy loss -7.9930, value loss 7.9287, entropy loss -0.0097, predict loss 7.7043
[Train] Iteration 27, total loss 12.9917, policy loss -8.5256, value loss 14.2222, entropy loss -0.0190, predict loss 7.2955
[Train] Iteration 28, total loss 7.9019, policy loss -7.8682, value loss 8.6747, entropy loss -0.0196, predict loss 7.0958
[Train] Iteration 29, total loss 11.9529, policy loss -7.6235, value loss 12.2351, entropy loss -0.0095, predict loss 7.3414
[Train] Iteration 30, total loss 11.4892, policy loss -7.4689, value loss 11.5718, entropy loss -0.0210, predict loss 7.3868
[Train] Iteration 31, total loss 19.8442, policy loss -6.7713, value loss 19.9578, entropy loss -0.0159, predict loss 6.6580
[Train] Iteration 32, total loss 27.2769, policy loss -6.5900, value loss 26.2851, entropy loss -0.0153, predict loss 7.5822
[Train] Iteration 33, total loss 10.0616, policy loss -6.5397, value loss 9.4549, entropy loss -0.0146, predict loss 7.1467
[Train] Iteration 34, total loss 14.4434, policy loss -5.8662, value loss 12.7157, entropy loss -0.0144, predict loss 7.5942
[Train] Iteration 35, total loss 8.7045, policy loss -6.5235, value loss 8.1905, entropy loss -0.0348, predict loss 7.0382
[Train] Iteration 36, total loss 6.1092, policy loss -7.1304, value loss 5.8792, entropy loss -0.0160, predict loss 7.3608
[Train] Iteration 37, total loss 8.5498, policy loss -7.4891, value loss 8.5513, entropy loss -0.0071, predict loss 7.4877
[Train] Iteration 38, total loss 9.4540, policy loss -6.2934, value loss 8.8082, entropy loss -0.0271, predict loss 6.9397
[Train] Iteration 39, total loss 11.9746, policy loss -6.5991, value loss 11.3687, entropy loss -0.0205, predict loss 7.2054
[Train] Iteration 40, total loss 13.0372, policy loss -6.1610, value loss 12.4098, entropy loss -0.0111, predict loss 6.7886
[Train] Iteration 41, total loss 14.3114, policy loss -7.6530, value loss 14.8739, entropy loss -0.0090, predict loss 7.0907
[Train] Iteration 42, total loss 9.2166, policy loss -5.8949, value loss 7.9993, entropy loss -0.0193, predict loss 7.1126
[Train] Iteration 43, total loss 14.2306, policy loss -7.3400, value loss 14.4576, entropy loss -0.0091, predict loss 7.1132
[Train] Iteration 44, total loss 7.7903, policy loss -8.2010, value loss 8.7897, entropy loss -0.0047, predict loss 7.2016
[Train] Iteration 45, total loss 12.4295, policy loss -5.8886, value loss 10.8851, entropy loss -0.0229, predict loss 7.4334
[Train] Iteration 46, total loss 8.3753, policy loss -5.8005, value loss 6.9558, entropy loss -0.0170, predict loss 7.2204
[Train] Iteration 47, total loss 10.1871, policy loss -5.7249, value loss 9.2665, entropy loss -0.0191, predict loss 6.6459
[Train] Iteration 48, total loss 17.3141, policy loss -7.4709, value loss 17.8593, entropy loss -0.0083, predict loss 6.9259
[Train] Iteration 49, total loss 8.7978, policy loss -7.0812, value loss 8.9709, entropy loss -0.0205, predict loss 6.9085
[Train] Iteration 50, total loss 17.1526, policy loss -9.8114, value loss 20.1964, entropy loss -0.0148, predict loss 6.7679
[Train] Iteration 51, total loss 5.0322, policy loss -5.5592, value loss 3.8008, entropy loss -0.0336, predict loss 6.7912
[Train] Iteration 52, total loss 3.9522, policy loss -6.4299, value loss 3.2467, entropy loss -0.0132, predict loss 7.1357
[Train] Iteration 53, total loss 4.4915, policy loss -6.8768, value loss 4.3945, entropy loss -0.0127, predict loss 6.9741
[Train] Iteration 54, total loss 7.2186, policy loss -6.3895, value loss 6.9147, entropy loss -0.0159, predict loss 6.6938
